Codigo,Familias,Nombre,Alias,Tasa,Unidad
EQ-PAN-VAR-1-5HP,,Panel de control con Variador de frecuencia de 5 Hp,,,U
EQ-PAN-VAR-1-7.5HP,,Panel de control con Variador de frecuencia de 7.5 Hp,,,U
EQ-PAN-VAR-2-15HP,,Panel de Control con Variadores de Frecuencia para 2 Bombas de 15HP,,,U
EQ-PISC-ACM,,Ácido Muriático,,,Gl
EQ-PISC-BOM-1,,Bomba para Piscina 1HP,,,U
EQ-PISC-BOM-2,,Bomba para Piscina 2HP,,,U
EQ-PISC-BOM-2.5,,Bomba para Piscina 2.5HP,,,U
EQ-PISC-BOM-5,,Bomba para Piscina 5HP,,,U
EQ-PISC-CEPAL,,Cepillo de Algas,,,U
EQ-PISC-CLO,,Clorinador Para Piscina (10 pastillas),,,U
EQ-PISC-COLF,,Colador de Fondo,,,U
"EQ-PISC-FIL-21""",,"Filtro p/piscina. 21""",,,U
EQ-PISC-FIL-30,,"Filtro p/piscina. 30""",,,U
EQ-PISC-FOND-2,,"Toma de Fondo 2""",,,U
EQ-PISC-GROUT,,Grout para Acuñe,,,Fda
EQ-PISC-INY,,Inyector para Piscina,,,U
EQ-PISC-LIMP,,Set de Limpieza,,,U
EQ-PISC-MANG-40,,Manguera p/limp 40´,,,U
EQ-PISC-RECE,,Receptáculo,,,U
EQ-PISC-REG,,Registro electrico para luces de piscina,,,U
EQ-PISC-SKI,,Skimmer para Piscina,,,U
EQ-PISC-SUPBL,,Super Blue,,,U
EQ-PISC-TUB-TELE,,Tubo Telescopico,,,U
EQ-PISC-WURTH,,Wurth MS Pool,,,U
EQ-RCI-EST,,Estucheon para Rociador Vikkingo Blanco,,,U
EQ-RCI-MAN,,Manguera para rociador con rack,,,U
EQ-RCI-RO-COL,,Rociador Colgante Respuesta Rapida Blanco 155 F,,,U
EQ-TQH-125PSI-120GL,,"Tanque precargado, 120 gls, presión máxima 125 PSI",,,U
EQ-TRAN-100W-12V,,Transformador 100W 12V,,,U
EQ-VAR-3HP,,Variador de frecuencia para bomba de 3 HP,,,U
MA-AIS-110,,Aislamiento 110 MM,,,U
MA-AIS-20,,Aislamiento 20 MM,,,U
MA-AIS-25,,Aislamiento 25 MM,,,U
MA-AIS-32,,Aislamiento 32 MM,,,U
MA-AIS-50,,Aislamiento 50 MM,,,U
MA-AIS-63,,Aislamiento 63 MM,,,U
MA-AIS-90,,Aislamiento 90 MM,,,U
MA-BRON-ADA-HEM-12x½,,Adaptador de Bronce Hembra 12mmx½,,,U
MA-BRON-ADA-HEM-15x½,,Adaptador de Bronce Hembra 15mmx½,,,U
MA-BRON-ADA-HEM-16x½,,Adaptador de Bronce Hembra 16mmx½,,,U
MA-BRON-COD-MH-½x90º,,Codo de Bronce Macho Hembra ½x90º,,,U
MA-BRON-COD-MH-¾x90º,,Codo de Bronce Macho Hembra ¾x90º,,,U
MA-BRON-COD-MH-1x90º,,Codo de Bronce Macho Hembra 1x90º,,,U
MA-BRON-RED-¾x½,,Reduccion de Bronce ¾x½,,,U
MA-BRON-RED-1x¾,,Reduccion de Bronce 1x¾,,,U
MA-BRON-TAP-HEM-½,,"Tapón de Bronce hembra 1/2""",,,U
MA-BRON-TAP-HEM-¾,,"Tapón de Bronce hembra 3/4""",,,U
MA-BRON-TAP-MAC-½,,"Tapón de Bronce macho 1/2""",,,U
MA-BRON-TAP-MAC-¾,,"Tapón de Bronce macho 3/4""",,,U
MA-ELEC-ALAG-12/4,,Alambre de Goma 12/4,,,U
MA-ELEC-ALAG-14/4,,Alambre de Goma 14/4,,,Pie
MA-EMT-ABR-GALV-½,,EMT Abrazadera 1/2 Galv. (UNA OREJA),,,U
MA-EMT-CAJM-4x2,,EMT Caja de Metal 4X2 KO 1/2 1.5,,,U
MA-EMT-CONEC-½,,EMT Conector 1/2 Acero,,,U
MA-EMT-CUR-½x90,,EMT Curva a 90º 1/2 Galv.,,,U
MA-EMT-TAP-4x2,,EMT Tapa 4X2 Ciega Metal,,,U
MA-EMT-TUB-½x10,,EMT Tubo 1/2 X 10',,,U
MA-GLP-MED,,Medidor de Gas,,,U
MA-GLP-REGU-450KBTU,,"Regulador de Gas 450,000 BTU",,,U
MA-HG-ARA-?,,"Arandela Plana HG 3/8""",,,U
MA-HG-ARA-¼,,"Arandela Plana HG 1/4""",,,U
MA-HG-ARA-5/16,,"Arandela Plana HG 5/16""",,,U
MA-HG-COD-NIP-½,,"Codo Niple hg de 1/2""",,,U
MA-HG-NIP-¾x12,,"Niple hg Ø 3/4"" x 12' acero inoxidable",,,U
MA-HG-TAP-MAC-½,,"Tapon Macho Hg de 1/2""",,,U
MA-HG-TAP-MAC-¾,,"Tapon Macho Hg de 3/4""",,,U
MA-HG-TAP-MAC-1,,"Tapon Macho Hg de 1""",,,U
MA-HG-TAP-MAC-1½,,"Tapon Macho Hg de 1-1/2""",,,U
MA-HN-ACO-VIT-1½,,"Acople Tipo Vitaulic 1½""",,,U
MA-HN-ACO-VIT-2,,"Acople Tipo Vitaulic 2""",,,U
MA-HN-ACO-VIT-2½,,"Acople Tipo Vitaulic 2½""",,,U
MA-HN-ACO-VIT-3,,"Acople Tipo Vitaulic 3""",,,U
MA-HN-ACO-VIT-4,,"Acople Tipo Vitaulic 4""",,,U
MA-HN-ACO-VIT-6,,"Acople Tipo Vitaulic 6""",,,U
MA-HN-COD-RAN-1½x45º,,"Codo HN Ranurado 1½"" x 45",,,U
MA-HN-COD-RAN-1½x90º,,"Codo HN Ranurado 1½"" x 90",,,U
MA-HN-COD-RAN-2½x45º,,"Codo HN Ranurado 2½"" x 45",,,U
MA-HN-COD-RAN-2½x90º,,"Codo HN Ranurado 2½"" x 90",,,U
MA-HN-COD-RAN-2x45º,,"Codo HN Ranurado 2"" x 45",,,U
MA-HN-COD-RAN-2x90º,,"Codo HN Ranurado 2"" x 90",,,U
MA-HN-COD-RAN-3x45º,,"Codo HN Ranurado 3"" x 45º",,,U
MA-HN-COD-RAN-3x90º,,"Codo HN Ranurado 3"" x 90º",,,U
MA-HN-COD-RAN-4x45º,,"Codo HN Ranurado 4"" x 45º",,,U
MA-HN-COD-RAN-4x90º,,"Codo HN Ranurado 4"" x 90º",,,U
MA-HN-COD-RAN-6x45º,,"Codo HN Ranurado 6"" x 45º",,,U
MA-HN-COD-RAN-6x90º,,"Codo HN Ranurado 6"" x 90º",,,U
MA-HN-COD-RO-½x45º,,"Codo HN Roscado 1/2"" x 45º",,,U
MA-HN-COD-RO-½x90º,,"Codo HN Roscado 1/2"" x 90º",,,U
MA-HN-COD-RO-¾x45º,,"Codo HN Roscado 3/4"" x 45º",,,U
MA-HN-COD-RO-¾x90º,,"Codo HN Roscado 3/4"" x 90º",,,U
MA-HN-COD-RO-1¼x45º,,"Codo HN Roscado 1 1/4"" x 45º",,,U
MA-HN-COD-RO-1¼x90º,,"Codo HN Roscado 1 1/4"" x 90º",,,U
